feature,importance
product_cd_encoded,0.21041173
v308_flag,0.0949278
is_weekend,0.08989137
v258_flag,0.084186405
is_night_txn,0.077226
c_ratio,0.057537187
addr1_missing,0.052788693
amt_bin,0.047445312
amt_x_c1,0.04022401
time_of_day_bucket,0.037262116
d15_missing,0.035482712
amt_zscore,0.03405541
log_transaction_amt,0.02521478
card1_norm,0.02404119
days_since_ref,0.02375855
dist1_missing,0.018192507
high_risk_email_domain,0.017022403
card2_norm,0.016721815
dist1_log,0.013610116
d1_missing,0.0
is_credit,0.0
velocity_1h_flag,0.0
